AGE,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,CNT_CHILDREN,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,OCCUPATION_TYPE,EMPLOYMENT_YEARS,Approval_Status
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
37,157500.0,Commercial associate,Higher education,Married,House / apartment,0,2.0,N,N,High skill tech staff,13,Approved
37,157500.0,Commercial associate,Higher education,Married,House / apartment,0,2.0,N,N,High skill tech staff,13,Approved
37,157500.0,Commercial associate,Higher education,Married,House / apartment,0,2.0,N,N,High skill tech staff,13,Approved
37,157500.0,Commercial associate,Higher education,Married,House / apartment,0,2.0,N,N,High skill tech staff,13,Approved
37,157500.0,Commercial associate,Higher education,Married,House / apartment,0,2.0,N,N,High skill tech staff,13,Approved
42,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Drivers,3,Approved
42,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Drivers,3,Approved
42,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Drivers,3,Approved
42,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Drivers,3,Approved
28,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,3.0,N,Y,,7,Approved
28,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,3.0,N,Y,,7,Approved
28,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,3.0,N,Y,,7,Approved
28,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,3.0,N,Y,,7,Approved
48,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,4,Approved
48,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,4,Approved
48,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,4,Approved
48,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,4,Approved
48,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,4,Approved
48,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,4,Approved
48,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,4,Approved
48,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,4,Approved
43,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,2,Approved
43,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,2,Approved
43,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,2,Approved
43,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,2,Approved
61,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,-1000,Approved
61,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,-1000,Approved
61,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,-1000,Approved
61,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,-1000,Approved
61,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,-1000,Approved
61,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,-1000,Approved
61,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,,-1000,Approved
57,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,6,Approved
57,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,6,Approved
57,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,6,Approved
57,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,6,Approved
57,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,6,Approved
57,112500.0,State servant,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,6,Approved
45,270000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1.0,Y,Y,Cleaning staff,3,Approved
45,270000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1.0,Y,Y,Cleaning staff,3,Approved
45,270000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1.0,Y,Y,Cleaning staff,3,Approved
45,270000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1.0,Y,Y,Cleaning staff,3,Approved
45,270000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1.0,Y,Y,Cleaning staff,3,Approved
45,270000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1.0,Y,Y,Cleaning staff,3,Approved
29,270000.0,Working,Higher education,Married,House / apartment,0,2.0,Y,Y,Managers,2,Approved
29,270000.0,Working,Higher education,Married,House / apartment,0,2.0,Y,Y,Managers,2,Approved
27,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,2,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
51,166500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,17,Approved
42,216000.0,State servant,Higher education,Married,House / apartment,2,4.0,N,Y,,8,Approved
42,216000.0,State servant,Higher education,Married,House / apartment,2,4.0,N,Y,,8,Approved
42,216000.0,State servant,Higher education,Married,House / apartment,2,4.0,N,Y,,8,Approved
42,216000.0,State servant,Higher education,Married,House / apartment,2,4.0,N,Y,,8,Approved
42,216000.0,State servant,Higher education,Married,House / apartment,2,4.0,N,Y,,8,Approved
42,216000.0,State servant,Higher education,Married,House / apartment,2,4.0,N,Y,,8,Approved
42,216000.0,State servant,Higher education,Married,House / apartment,2,4.0,N,Y,,8,Approved
42,216000.0,State servant,Higher education,Married,House / apartment,2,4.0,N,Y,,8,Approved
54,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,29,Approved
54,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,29,Approved
39,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,7,Approved
39,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,7,Approved
28,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1.0,N,Y,Accountants,3,Approved
28,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1.0,N,Y,Accountants,3,Approved
51,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,2.0,N,N,,-1000,Approved
51,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,2.0,N,N,,-1000,Approved
51,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,2.0,N,N,,-1000,Approved
51,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,2.0,N,N,,-1000,Approved
51,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,2.0,N,N,,-1000,Approved
51,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,0,2.0,N,N,,-1000,Approved
39,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,2,3.0,N,Y,Core staff,1,Approved
39,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,2,3.0,N,Y,Core staff,1,Approved
48,148500.0,Working,Higher education,Married,House / apartment,0,2.0,N,Y,Core staff,2,Approved
48,148500.0,Working,Higher education,Married,House / apartment,0,2.0,N,Y,Core staff,2,Approved
48,148500.0,Working,Higher education,Married,House / apartment,0,2.0,N,Y,Core staff,2,Approved
48,148500.0,Working,Higher education,Married,House / apartment,0,2.0,N,Y,Core staff,2,Approved
48,148500.0,Working,Higher education,Married,House / apartment,0,2.0,N,Y,Core staff,2,Approved
48,148500.0,Working,Higher education,Married,House / apartment,0,2.0,N,Y,Core staff,2,Approved
30,202500.0,Working,Higher education,Married,House / apartment,2,4.0,N,Y,Core staff,6,Approved
30,202500.0,Working,Higher education,Married,House / apartment,2,4.0,N,Y,Core staff,6,Approved
30,202500.0,Working,Higher education,Married,House / apartment,2,4.0,N,Y,Core staff,6,Approved
30,202500.0,Working,Higher education,Married,House / apartment,2,4.0,N,Y,Core staff,6,Approved
30,202500.0,Working,Higher education,Married,House / apartment,2,4.0,N,Y,Core staff,6,Approved
24,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1.0,N,Y,Drivers,2,Approved
24,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,1.0,N,Y,Drivers,2,Approved
20,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1.0,Y,Y,Private service staff,2,Approved
61,94500.0,Pensioner,Higher education,Married,House / apartment,0,2.0,N,Y,,-1000,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,2.0,Y,Y,Sales staff,5,Approved
28,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,2.0,Y,Y,High skill tech staff,8,Approved
28,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,0,2.0,Y,Y,High skill tech staff,8,Approved
48,450000.0,State servant,Higher education,Married,House / apartment,1,3.0,Y,Y,Core staff,1,Approved
48,450000.0,State servant,Higher education,Married,House / apartment,1,3.0,Y,Y,Core staff,1,Approved
38,180000.0,Working,Secondary / secondary special,Married,With parents,1,3.0,N,Y,Drivers,3,Approved
27,112500.0,Working,Higher education,Civil marriage,House / apartment,0,2.0,N,Y,Laborers,8,Approved
27,112500.0,Working,Higher education,Civil marriage,House / apartment,0,2.0,N,Y,Laborers,8,Approved
27,112500.0,Working,Higher education,Civil marriage,House / apartment,0,2.0,N,Y,Laborers,8,Approved
56,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Drivers,15,Approved
56,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Drivers,15,Approved
40,202500.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,Y,N,Laborers,8,Approved
40,202500.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,Y,N,Laborers,8,Approved
34,247500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,11,Approved
33,765000.0,Working,Higher education,Married,House / apartment,1,3.0,Y,Y,Managers,3,Approved
33,765000.0,Working,Higher education,Married,House / apartment,1,3.0,Y,Y,Managers,3,Approved
33,765000.0,Working,Higher education,Married,House / apartment,1,3.0,Y,Y,Managers,3,Approved
37,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,3.0,N,Y,Accountants,12,Approved
37,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,3.0,N,Y,Accountants,12,Approved
37,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,3.0,N,Y,Accountants,12,Approved
36,315000.0,Working,Higher education,Separated,House / apartment,0,1.0,N,Y,Managers,1,Approved
36,315000.0,Working,Higher education,Separated,House / apartment,0,1.0,N,Y,Managers,1,Approved
35,157500.0,Working,Secondary / secondary special,Married,With parents,2,4.0,Y,Y,Drivers,11,Approved
35,157500.0,Working,Secondary / secondary special,Married,With parents,2,4.0,Y,Y,Drivers,11,Approved
35,157500.0,Working,Secondary / secondary special,Married,With parents,2,4.0,Y,Y,Drivers,11,Approved
35,157500.0,Working,Secondary / secondary special,Married,With parents,2,4.0,Y,Y,Drivers,11,Approved
35,157500.0,Working,Secondary / secondary special,Married,With parents,2,4.0,Y,Y,Drivers,11,Approved
41,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Security staff,7,Approved
41,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Security staff,7,Approved
24,112500.0,Commercial associate,Higher education,Married,House / apartment,0,2.0,N,Y,High skill tech staff,0,Approved
43,157500.0,Commercial associate,Higher education,Separated,With parents,0,1.0,N,N,,1,Approved
